case,output,object,action_relation,scene,count_layout,best,notes
F126,C,partial,wrong,correct,partial,B,网球仍在但球拍缺失且双手姿势不符
F127,A,partial,wrong,partial,partial,all_wrong,马桶俯视变闭合盖面且水中塑料瓶缺失
F127,B,uncertain,wrong,uncertain,wrong,all_wrong,原图仍无法确认绿色圆形器物类别且无可辨认马桶内塑料瓶
F128,A,wrong,wrong,partial,wrong,all_wrong,河边大象队列和旧车变港口观光车
F128,B,wrong,wrong,partial,wrong,all_wrong,河岸象队游行变沙滩停放小艇
F129,A,correct,partial,correct,partial,A,海上多个牵引风筝对应但近处滑水者不明显且风筝更多
F129,B,partial,wrong,partial,wrong,A,风筝水面保留但增加岸边牛群且冲浪者缺失
F129,C,partial,wrong,partial,wrong,A,风筝远水面保留但主体变岸边牛羊群
F130,A,wrong,partial,partial,wrong,all_wrong,两斑马过土路变铺装路上一只模糊小动物
F130,B,wrong,partial,partial,wrong,all_wrong,斑马过路变多只羊在路边草坡
F130,C,wrong,wrong,wrong,wrong,all_wrong,斑马土路变雪道黑色动物与远处人群
F131,A,partial,partial,correct,wrong,A,早餐餐桌对应但丰富小碟变两盘面包香肠且用餐者缺失
F131,B,wrong,wrong,wrong,wrong,A,早餐聚餐变成三箱水果陈列
F131,C,partial,wrong,wrong,wrong,A,餐桌菜碟变摊位糕点披萨香蕉
F132,A,correct,partial,correct,partial,C,棒球场运动员对应但本垒捕手和击球手关系缺失
F132,B,partial,wrong,partial,wrong,C,本垒运动场面变场边众人鼓掌
F132,C,correct,partial,correct,partial,C,本垒附近两人对应但捕手击球手变蹲着工作人员和站立球员
F133,A,partial,wrong,partial,partial,all_wrong,热狗长面包变无馅环形面包
F133,B,partial,wrong,partial,partial,all_wrong,烤香肠热狗变切开的果干圆面包
F133,C,partial,wrong,partial,partial,all_wrong,长热狗变涂奶油的环形面包
F134,A,correct,partial,wrong,partial,B,天空多风筝保留但大章鱼形风筝缺失且草地变雪坡
F134,B,correct,correct,partial,partial,B,户外多人放风筝对应但大章鱼形风筝和开阔草坪改变
F135,A,wrong,partial,partial,wrong,all_wrong,草地斑马群变水坑旁三象
F135,B,wrong,partial,partial,partial,all_wrong,斑马群变林间黑色牛样动物
F135,C,wrong,partial,partial,partial,all_wrong,绿色草地斑马聚集变干草地象群
F136,A,correct,correct,correct,partial,A,红衣男子举拍跳击对应但建筑棕榈背景变观众
F136,B,correct,correct,correct,partial,A,举拍击球对应但红衣变白衣且草场构图改变
F136,C,correct,correct,correct,partial,A,男子跳起举拍对应但网与背景建筑棕榈缺失
F137,A,partial,partial,partial,partial,all_wrong,夜间行人红手灯与单行牌变白天多只黄黑交通灯
F137,B,partial,wrong,partial,partial,all_wrong,红手信号和ONE WAY牌变白天大型STOP牌
F138,A,partial,wrong,partial,wrong,all_wrong,田边红停止牌变远处背面细路牌和公路
F138,B,wrong,wrong,wrong,wrong,all_wrong,田野停止牌变海岸水面
F139,A,partial,wrong,partial,wrong,all_wrong,俯视三人餐桌变沙发看电视和抱孩子
F139,B,partial,wrong,partial,wrong,all_wrong,就餐人群变电脑键盘旁坐人且餐桌菜盘缺失
F140,A,partial,wrong,partial,wrong,all_wrong,戴手套接猛禽变多人玩绿色长条器具
F140,B,partial,wrong,wrong,wrong,all_wrong,猛禽与驯养员变街上戴绿盘持长条物的人群
F140,C,partial,wrong,partial,wrong,all_wrong,接飞鸟动作变草地两人持网兜网球
F141,A,partial,correct,correct,partial,B,双层绿色公交变单层红色公交且朝向反转
F141,B,correct,correct,partial,partial,B,双层公交保留但绿色变黄色且后方增加一车
F141,C,partial,correct,partial,correct,B,公交斜视对应但双层变单层紫白车
F142,A,partial,partial,partial,partial,A,手持圆面包保留但咬食男子变低头女子且电脑缺失
F142,B,partial,partial,wrong,partial,A,室内键盘前咬甜点变室外女子拿面包
F143,A,wrong,partial,partial,partial,all_wrong,椅下狗头变隔板旁猫头
F143,B,wrong,partial,partial,partial,all_wrong,木椅下金色狗变门缝中的灰猫
F143,C,wrong,partial,partial,partial,all_wrong,椅下伏狗变透明隔挡后猫
F144,A,wrong,wrong,wrong,partial,all_wrong,后视镜里狗的局部脸变窗边猫头
F144,B,wrong,partial,correct,partial,all_wrong,车内动物保留但镜中狗变戴墨镜猫
F144,C,partial,wrong,wrong,wrong,all_wrong,镜中狗脸变玻璃门后低头动物且镜面构图缺失
F145,A,correct,correct,correct,partial,A,单床卧室对应但幔帐红白床品变绿色且木墙替代图案墙
F145,B,wrong,wrong,wrong,wrong,A,卧室床变浴室镜子洗手盆
F146,A,correct,partial,partial,partial,B,披萨对应但方形双拼变圆形放射状配料
F146,B,correct,correct,partial,partial,B,两种配料分半披萨对应但方烤盘变圆盘且配料不同
F146,C,wrong,wrong,partial,wrong,B,披萨变切半的夹肉面包
F147,A,partial,wrong,partial,partial,all_wrong,棒球装束持棒形象变便服男子举长方板
F147,B,partial,wrong,partial,partial,all_wrong,挥棒形象变室内男子垂手持球拍
F147,C,partial,wrong,partial,partial,all_wrong,棒球挥棒变便服男子操作带线器具
F148,A,correct,correct,partial,wrong,B,公交保留但单层侧面变双层正面并增加面包车
F148,B,correct,correct,partial,correct,B,单层公交侧面对应但上方连廊和湿雪地面缺失
F148,C,correct,correct,partial,partial,B,公交保留但侧面变斜前方且上方连廊变电线
F149,A,wrong,wrong,wrong,wrong,all_wrong,咖啡牛角包和书变电脑与电话设备
F149,B,partial,wrong,wrong,wrong,all_wrong,咖啡馆早餐变厨房蛋糕香蕉与电饭煲
F149,C,partial,partial,wrong,wrong,all_wrong,杯子保留但牛角包书本变香蕉和电脑
F150,A,wrong,wrong,correct,wrong,B,台面披萨变烤盘上排放苹果
F150,B,correct,correct,correct,partial,B,蔬菜披萨保留但板上全饼变金属烤盘低角度近景
F150,C,wrong,wrong,correct,wrong,B,披萨变两碗绿色苹果
F151,A,correct,partial,partial,partial,A,白胸虎斑猫保留但蜷坐垫中变桌边直坐且粉色物缺失
F151,B,correct,partial,wrong,partial,A,猫保留但白色花猫变黑猫且软垫变户外桌面
F152,A,correct,correct,correct,partial,A,窗边坐猫对应但黑白毛变深色且窗格外视结构改变
F152,B,correct,wrong,wrong,partial,A,窗中坐猫变床上黑猫
F152,C,correct,partial,correct,partial,A,窗框中猫对应但黑白全身猫变浅色头胸近景
F153,A,partial,wrong,partial,correct,all_wrong,男子刷牙变把黑色设备与白物贴入口中
F153,B,partial,wrong,partial,partial,all_wrong,刷牙动作变张臂挥动细物且牙刷未接触嘴
F154,A,wrong,partial,partial,wrong,all_wrong,雾中羊群变晴天两象相对
F154,B,partial,partial,partial,wrong,all_wrong,绵羊样群体保留但变多只黑色长脸动物且雾与近景布局消失
F154,C,wrong,partial,partial,partial,all_wrong,雾中绵羊变晴天牛群
F155,A,correct,correct,correct,partial,A,树旁长颈鹿对应但单只变两只且石墙缺失
F155,B,correct,correct,correct,partial,A,长颈鹿保留但增加一只且全身近景变颈部特写
F155,C,correct,partial,partial,wrong,A,单只侧向长颈鹿变草地两只迎面靠拢
F156,A,correct,partial,partial,partial,A,多人厨房备食保留但俯身切肉变站立处理糕点
F156,B,partial,partial,partial,partial,A,厨房烹饪对应但前景切肉及抱臂旁观关系缺失
F156,C,partial,partial,partial,partial,A,备餐动作保留但木屋多人切肉变现代厨房单人烹饪
F157,A,correct,wrong,partial,wrong,C,两鹿交颈变一只低头鹿
F157,B,correct,partial,correct,partial,C,两鹿并立对应但交颈抬头关系消失
F157,C,correct,partial,correct,partial,C,两鹿颈部接近对应但一鹿身体腿部畸变且抬头角度不同
F158,A,partial,partial,correct,partial,B,马桶浴室对应但左侧洗手盆与双窗变玻璃隔间
F158,B,correct,correct,correct,partial,B,左盆右马桶对应但多浴缸且窗户数量位置不同
F158,C,partial,partial,correct,partial,B,浴室马桶对应但左盆消失并增加右侧浴缸
F159,A,partial,wrong,wrong,partial,all_wrong,雪场持杖女子变室内坐着的红衣男子
F160,A,wrong,wrong,partial,wrong,all_wrong,中式饼粥早餐变西兰花和橙色器具
F160,B,wrong,wrong,partial,wrong,all_wrong,饼粥橘子餐桌变盒装肉类热狗
F160,C,wrong,wrong,partial,wrong,all_wrong,多盘饼与粥变长三明治和牛奶
